,Timestamp,I agree to these terms and conditions,Role,Training,Location,Work description,Level of computational skills,Comfort in developing computational skills,Approach to solutions,Frequency of script usage,Best practices articles,Written tutorials,Video tutorial,Interactive webinar,Office hours,One day seminar,Multiday workshop,Image analysis theory,Image analysis practices,Topics related to sub discipline,Specific software tool,Deep learning for image analysis,Analyzing large images,Visualization of results,Microscopy for life sciences physical sciences,Commonly used image analysis tools,Most used image analysis tools,Brightfield/DIC/phase-contrast manually acquired,Brightfield/DIC/phase-contrast automated,Fluorescent images manually acquired,Fluorescent images automated,Histological tissue sections,Electron microscopy,Imaging mass spectrometry,Imaging flow cytometry,Superresolution (PALM/STORM),Autofluorescence imaging (ie FLIM),Other,Well solved image analysis problems,Image analysis problems which needs better solutions,What image analysis tools have you used before? (check all that apply).1,What image analysis tools do you use the most?.1,Optical microscopy/DIC/fractography,Scanning electron microscopy,Transmission electron microscopy,Spectroscopy/diffractive imaging in the SEM/TEM,Imaging with mass spectrometry,X-ray microscopy,Atomic force microscopy,Fluorescence microscopy,Other,Well solved image analysis problems-physical sciences,Image analysis problems which needs better solutions physical sciences,hear about this survey,Previous experience,Number of conferences/workshops attended,Notification of image analysis workshop,Experience with previous workshops/conferences,Recommended conferences/workshops,Topics of interest,Creators role,Users role,Other thoughts,Subscription,Imaging,Balanced,Analyst,Work type,Knowledge of computational skills,Comfort
143,5/17/2022 1:57,Yes,Facility director,"Cell/Molecular Biology, Developmental Biology",Australia,3.0,4.0,7.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Sometimes,Very preferable,Very preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Very preferable,Moderately preferable,Somewhat interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)","2D, 2D + time","2D, 2D + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume)","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",2D,,,,,,"2D, 3D (<3000x3000x100), 3D (SPIM/large volume)",,,,,,,,,,,,,,,,Confocal Microscopy Listserv,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Email list,,,,,,,Yes,False,True,False,Balanced,Medium skill,High comfort
144,5/17/2022 2:11,Yes,Undergraduate/Graduate student,"Cell/Molecular Biology, Developmental Biology",North America,5.0,5.0,6.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Somewhat preferable,Very preferable,Very preferable,Moderately preferable,Very preferable,Moderately preferable,Somewhat preferable,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,"3D (<3000x3000x100), 3D + time",,,,,,,,,Most things in 2D seem better solved than in 3D or higher dimensions (e.g. cell or nucleus segmentation of sparse 2D cells in culture),"In my experience, 3D+ images are generally harder to work with. There are fewer out-of-the-box solutions that work for those, especially if your samples are a bit unusual/specific. Segmenting tightly packed cells in 3D feels much harder than sparse cells in 2D.",,,,,,,,,,,,,,Twitter,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Some,Postings on image.sc forum or microforum,,,"Appropriate use of machine learning models for biologists would be good, there is a lot of power there but it's not always the most accessible.","Community engagement is incredibly helpful, I think. I've had great experiences being able to interact with people who develop napari, for instance, they are really responsive and helpful. My impression is that a lot of people who develop these tools want them to be successful and used by many people, but they don't always have the money and resources to make them the best they can be. I think pushing institutions to recognize how dedicated image analysts and contributing to open source can help everyone so that they will fund it and make positions along those lines would be good, but maybe that's a pipe dream.","Make your code and workflows as transparent to others as possible. Provide feedback, report bugs, and so forth... I think we need to tell people they are not being a burden in doing so, they are helping! I used to feel self-conscious, like I didn't know enough to be able to report issues or ask questions. I wish I had realized sooner that being more engaged as a user can be helpful for the creators as well!",,Yes,False,True,False,Balanced,Medium skill,High comfort
145,5/17/2022 3:08,Yes,Research scientist,Cell/Molecular Biology,Europe,4.0,4.0,4.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google)",Often,Very preferable,Very preferable,Not at all preferable,Somewhat preferable,Very preferable,Somewhat preferable,Somewhat preferable,Moderately interested,Moderately interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D + time, 3D (<3000x3000x100)","2D + time, 3D (<3000x3000x100)",,,,,,,,"spot detection, tracking, ","cell outline detection (yeast), ",,,,,,,,,,,,,,Email list,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",None,My local microscopy facility,ImageJ/FIJI course by Kota Miura; great script that I have handed on to many.,,,,,,No,False,True,False,Balanced,Medium skill,Medium comfort
146,5/17/2022 3:09,Yes,Facility staff,Chemistry/Biochemistry,Europe,2.0,3.0,4.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Sometimes,Very preferable,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Very preferable,Moderately interested,Very interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","2D, 2D + time",,"2D, 2D + time, 3D (<3000x3000x100), 3D + time",,,,,,,"2D, 2D + time",,"Finding, counting, measuring clearly defined structures. Automating analysis of datasets with limited variability.","Reliable, reproducible processing and analysis of datasets with large variability.",,,,,,,,,,,,,,Email list,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Few,A discipline-specific society or network,"Yes, real-life examples fully processed. Summarizing tips and tricks or best practices.",/,How to use a certain tool for a certain kind of experiment. Challenging dataset examples. What is good enough?,A variety of examples. Best practices lists or videos. ,Document and annotate workflows. Keep some example data with processing workflow for future reference.,/,Yes,True,False,False,Imaging,Medium skill,Medium comfort
147,5/17/2022 3:16,Yes,Research scientist,"Chemistry/Biochemistry, Cell/Molecular Biology",Europe,5.0,5.0,6.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google)",Sometimes,Somewhat preferable,Moderately preferable,Very preferable,Moderately preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat interested,Moderately interested,Very interested,Moderately interested,Very interested,Moderately interested,Very interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)",,"2D + time, 3D + time",,"2D + time, 3D + time",,,,,,,,Cell segmentation,Cell tracking,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Email list,ELMI 2021 ImageJ workshop,AACR,,Clear instructions for use and limitations (i.e. if it will definitely not work on a certain image type),,,Yes,False,True,False,Balanced,Medium skill,High comfort
148,5/17/2022 3:17,Yes,Research scientist,Chemistry/Biochemistry,Asia,3.0,2.0,2.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google)",Sometimes,Somewhat preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Very interested,Somewhat interested,Moderately interested,Somewhat interested,Moderately interested,Moderately interested,Somewhat interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",2D + time,,2D + time,,,,,,,,,Denoising,Tracking of fluorescence spots precisely,,,,,,,,,,,,,,Twitter,,None,Twitter,,,How to use libraries of codes opened through deposit such as Github,,,,Yes,False,True,False,Balanced,Low skill,Low comfort
149,5/17/2022 3:24,Yes,Image/data analyst,"Chemistry/Biochemistry, Cell/Molecular Biology",Europe,7.0,5.0,6.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Ask on forum.image.sc, Look up solutions generally on the internet (Google)",Often,Very preferable,Very preferable,Somewhat preferable,Not at all preferable,Moderately preferable,Somewhat preferable,Not at all preferable,Moderately interested,Moderately interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","2D, 2D + time, 3D (<3000x3000x100)","2D, 2D + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time",2D,,,,"2D, 3D (<3000x3000x100)",,,"Nuclei/cell segmentation, object tracking","image registration, data visualization",,,,,,,,,,,,,,Email list,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Email list,"Neubias, Global BioImaging image analysis course",,Course on image analysis using Python and Napari for beginners.,"I think creators are doing a good job when they know the biological relevance. If biology is forgotten, analysis often is compromised. ","Users should learn more about basics of images such as what is a pixel, resolution, bit depth etc. These should be included in the microscopy training. ",,Yes,False,False,True,Analyst,Medium skill,High comfort
150,5/17/2022 3:32,Yes,Postdoctoral fellow,"Cell/Molecular Biology, Developmental Biology, Computer science, Deep learning",Europe,4.0,6.0,6.0,"Ask on forum.image.sc, Look up solutions generally on the internet (Google)",Often,Moderately preferable,Moderately preferable,Somewhat preferable,Moderately preferable,Very preferable,Moderately preferable,Very preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,"3D (<3000x3000x100), 3D large volume + time","3D (<3000x3000x100), 3D large volume + time","2D, 3D (<3000x3000x100)",,,"3D (SPIM/large volume), 3D large volume + time",,,,"finding nuclei, finding cells",tubular structures reconstruction,,,,,,,,,,,,,,"The Images2Knowledge(I2K) conference, Postings on image.sc forum or microforum","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Twitter,I2K,,comparisons between pieces of software,Manage to facilitate access to the solutions,Giving more info about sample preparation,,Yes,False,True,False,Balanced,High skill,High comfort
151,5/17/2022 3:39,Yes,Facility director,Cell/Molecular Biology,Europe,3.0,5.0,3.0,Ask a friend or colleague to help me,Never,Very preferable,Very preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Not at all preferable,Somewhat preferable,Moderately interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,,,,"2D, 3D (<3000x3000x100), 3D (SPIM/large volume)",,,,,,,,,,,,,,,,,,,,,A discipline-specific society or network,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,A discipline-specific society or network,,,,clear tutorials/instructions and user-friendly GUI,active interaction with software developers,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
152,5/17/2022 3:46,Yes,Facility director,Cell/Molecular Biology,Europe,4.0,6.0,6.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Sometimes,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Moderately interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,"2D, 2D + time","2D, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100), 3D + time",2D,,,,,,2D + time,"Does that not depend on image quality, labelling etc?","Does that not depend on image quality, labelling etc?",,,,,,,,,,,,,,Email list,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Email list,Introduction of updates of existing software we use; use of open source software; having recordings available after the sessions;,,Depends on ongoing projects,Better documentation and keep it updated; for open source software continuation is sometime a problem; ,"Talk to the creators to resolve problems, add additional functionality ; ",,Yes,False,True,False,Balanced,High skill,High comfort
153,5/17/2022 3:50,Yes,Facility staff,Cell/Molecular Biology,Europe,1.0,6.0,7.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Never,Somewhat preferable,Moderately preferable,Moderately preferable,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Moderately interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, etc)","2D, 2D + time",2D + time,"2D, 2D + time, 3D (<3000x3000x100)",2D,2D,,,,"2D, 3D (<3000x3000x100)",,,,,,,,,,,,,,,,,,Email list,,Few,Email list,,Manchester Microscope Congress,,,,,No,True,False,False,Imaging,High skill,High comfort
154,5/17/2022 4:13,Yes,Facility staff,"Chemistry/Biochemistry, Cell/Molecular Biology",Europe,2.0,6.0,7.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Ask on forum.image.sc, Look up solutions generally on the internet (Google)",Most of the time,Somewhat preferable,Very preferable,Very preferable,Moderately preferable,Very preferable,Somewhat preferable,Very preferable,Moderately interested,Very interested,Very interested,Very interested,Moderately interested,Somewhat interested,Somewhat interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",,,2D,,,,,,,,,,,,,,,,,,,,,Email list,Workshop/tutorial on imaging or image analysis,Few,Twitter,,,Napari,,,,Yes,True,False,False,Imaging,High skill,High comfort
155,5/17/2022 4:17,Yes,Postdoctoral fellow,Cell/Molecular Biology,Europe,6.0,6.0,6.0,Ask a friend or colleague to help me,Sometimes,Moderately preferable,Very preferable,Very preferable,Very preferable,Somewhat preferable,Moderately preferable,Moderately preferable,Somewhat interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D + time, 3D + time","2D, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100)","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",,,"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",,,N A,N A,,,,,,,,,,,,,,"My local microscopy facility, Email list","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Email list,hand on trainings,yes,step by step image analysis guide.,N A,N A,No,Yes,False,False,True,Analyst,High skill,High comfort
156,5/17/2022 4:31,Yes,Facility staff,Cell/Molecular Biology,Europe,5.0,5.0,4.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions in the scientific literature",Often,Somewhat preferable,Very preferable,Moderately preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Moderately preferable,Somewhat interested,Moderately interested,Moderately interested,Very interested,Very interested,Moderately interested,Somewhat interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","2D, 2D + time","2D, 2D + time","2D, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100), 3D (SPIM/large volume)",2D,,,,"2D, 3D (<3000x3000x100)",,,"nuceli + spot counting, confluency (growth rates)","STED coloc analysis, 3D neuron architecture, ",,,,,,,,,,,,,,"The Images2Knowledge(I2K) conference, Word of mouth","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,A discipline-specific society or network,NEUBIAS - great community,,deep learning,,,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
157,5/17/2022 4:41,Yes,Facility staff,Physics/Biophysics,Europe,3.0,5.0,7.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google)",Often,Very preferable,Moderately preferable,Very preferable,Somewhat preferable,Moderately preferable,Somewhat preferable,Very preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,"2D, 2D + time, 3D (<3000x3000x100)",,,2D,,,,"2D, 2D + time, 3D (<3000x3000x100)",,Segmentation and quantification.,3D segmentation for electron microscopy. ,,,,,,,,,,,,,,My local microscopy facility,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Email list,"Bioimage Analysis with Python, a course at Cambridge University. It was a five-day in-person course replete with hands-on exercises that could immediately be applied to the problems your normally face. By the end of the course, my image analysis skills had been taken to a whole new level.",,More Python coding. ,,Yes. More training. ,,Yes,False,True,False,Balanced,Medium skill,High comfort
158,5/17/2022 4:42,Yes,Facility director,"Physics/Biophysics, Statistics/Biostatistics",Asia,2.0,5.0,5.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Sometimes,Somewhat preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Moderately interested,Somewhat interested,Life Sciences,"Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",2D,2D,2D,2D,"2D, 3D (SPIM/large volume)",,,,,"3D + time, 3D (SPIM/large volume), 3D large volume + time","3D + time, 3D large volume + time",,"Segmentation (neuronal, vascular, axonal) of two-photon imagery with photon-deprived imaging conditions (most segmentation methods fail when the features of interest contain many dark voxels)",,,,,,,,,,,,,,Twitter,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Email list,,,,,,"Multi-photon microscopy is the primary workhorse of many neuroscience labs, yet markedly different from conventional wide-field fluorescence microscopy. Please keep it on your radar.",Yes,True,False,False,Imaging,Medium skill,Medium comfort
159,5/17/2022 4:52,Yes,Image/data analyst,Developmental Biology,Europe,7.0,4.0,4.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Often,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","2D, 2D + time","2D, 2D + time","2D, 2D + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time",2D,"2D, 3D (<3000x3000x100), 3D (SPIM/large volume)",,,,,,,,,,,,,,,,,,,,,"The Images2Knowledge(I2K) conference, Email list","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Some,Postings on image.sc forum or microforum,,,,,,,Yes,False,False,True,Analyst,Medium skill,Medium comfort
160,5/17/2022 4:53,Yes,Facility director,"Chemistry/Biochemistry, Cell/Molecular Biology",Europe,1.0,5.0,3.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google)",Never,Somewhat preferable,Very preferable,Moderately preferable,Somewhat preferable,Very preferable,Somewhat preferable,Somewhat preferable,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Life Sciences,"Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Other commercial software (Imaris, Volocity, etc)",,,,,,3D large volume + time,,,,,,,,,,,,,,,,,,,,,Email list,Workshop/tutorial on imaging or image analysis,Some,Email list,,,,,,,Yes,True,False,False,Imaging,Medium skill,Medium comfort
161,5/17/2022 5:14,Yes,Facility staff,"Cell/Molecular Biology, Developmental Biology",Europe,4.0,5.0,7.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Most of the time,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Very preferable,Moderately preferable,Moderately preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",3D (<3000x3000x100),3D (<3000x3000x100),3D large volume + time,3D large volume + time,3D (SPIM/large volume),3D (SPIM/large volume),,3D large volume + time,,,,Hard to answer this ~ Image analysis can always be improved and it depends largely on the image,Same answer above applies. ,,,,,,,,,,,,,,Word of mouth,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Email list,"Yes ~ Simple, but in depth explanations. Most principles in image analysis are simple to follow if explained correctly. It is easy to go to quickly through a concept, or over complicate it. I enjoy learning from people who are passionate and expert. ~ Lots of diagrams!","Most biological questions now need image analysis pipelines to produce results, but I think image analysis conferences should be distinct from biology.","My job at the moment involves a lot of tomogram processing so I'll say: tomogram pre-processing (motion correction, alignment, CTF estimation, CTF correction, noise filtering), particle picking, feature extraction, and sub-tomogram averaging.

I'm also very interested in neural networks and machine learning to data mine/ classify."," More instructions and manuals! ~ There is a BIG learning gap for someone with no background in computing in being able to understand what developers are talking about in their read me files. Understandably it isn't their job to teach, but it would certainly help bridge the gap if there were more accessible and detailed descriptions.

 Active community for answering difficult questions.","Users have a responsibility to immerse themselves in the image analysis topics and try to learn/ understand. The most frustrating thing as a developer is to instruct someone how to do something that is clearly described in the manual/info.

Voice any blank spaces in the manual.","As someone who has learnt image analysis independently, I can see why there is such a learning gap between biologists and image analysts. It is something you either have to spend a lot of time reading up on, or have a dedicated image analyst on team. The midpoint is being instructed/ taught, but to be honest I think if someone wants to learn all they need is on the internet and ready. ",Yes,False,True,False,Balanced,Medium skill,High comfort
162,5/17/2022 5:31,Yes,Undergraduate/Graduate student,Cell/Molecular Biology,Europe,4.0,3.0,3.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me",Never,Very preferable,Very preferable,Very preferable,Moderately preferable,Very preferable,Moderately preferable,Moderately preferable,Somewhat interested,Moderately interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,,,,2D,,,,,,,,,,,,,,,,,,,,,Our research group's PI,"Workshop/tutorial on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Email list,,,,,,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
163,5/17/2022 5:47,Yes,Undergraduate/Graduate student,"Chemistry/Biochemistry, Cell/Molecular Biology",Europe,6.0,3.0,3.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google)",Sometimes,Very preferable,Very preferable,Very preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",3D (<3000x3000x100),,"3D (<3000x3000x100), 3D + time",3D (<3000x3000x100),,"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",,,,,,,Writing scripts to identify differently shaped objects by contrast,,,,,,,,,,,,,,Email list,,None,My local microscopy facility,,,,Better instructions/help pages,,,No,False,False,True,Analyst,Medium skill,Medium comfort
164,5/17/2022 5:53,Yes,Facility staff,Cell/Molecular Biology,Europe,1.0,3.0,5.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up solutions generally on the internet (Google)",Never,Not at all preferable,Very preferable,Moderately preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Somewhat interested,Moderately interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",2D,,2D,,2D,2D,,,,,,,,,,,,,,,,,,,,,Email list,,None,Email list,,vEM,,Better explanations of terminology/more user friendly interfaces,,,Yes,True,False,False,Imaging,Medium skill,Medium comfort
